Address,"Facility Type",State,Email,Phone,"Phone Carrier",County,Fax,"Security Level",Website,"No Of Beds","Mailing Address",
"101 West Elm St, Athens, AL 35611",Adult,Alabama,N/A,256-232-0111,InmateSales.com,Limestone,256-216-3443,"County - medium",http://www.limestonesheriff.com/,225,"101 West Elm St, Athens, AL 35611"
"423 Blount St, Guntersville, AL 35976",Adult,Alabama,N/A,256-582-2034,"TelMate Inmate Calling",Marshall,256-571-7774,"County - medium",http://www.marshallcosheriff.org/,250,"423 Blount St, Guntersville, AL 35976"
"1452 Alabama Hwy, Crossville, AL 35962",Adult,Alabama,twis702@yahoo.com,256-528-7831,GTL,DeKalb,256-528-2189,"City Jail - Medium",http://www.crossvillealabama.com/townhall.html,0,"1452 Alabama Hwy, Crossville, AL 35962"
"209 3rd Ave Northeast P.O. Box 278, Cullman, AL 35056-0278",Adult,Alabama,kculpepper@cullmanpd.com,256-734-1434,"Securus Tech®",Cullman,256-739-6081,"City Jail - Medium",http://www.cullmanpd.com/,0,"209 3rd Ave Northeast P.O. Box 278, Cullman, AL 35056-0278"
"192 South Broadnax, Dadeville, AL 36853",Adult,Alabama,N/A,256-825-6212,GTL,Tallapoosa,256-825-9291,"City Jail - Medium",http://www.dadevillepd.org/,0,"192 South Broadnax, Dadeville, AL 36853"
"740 South Daleville Ave PO Box 188, Daleville, AL 36322",Adult,Alabama,police@dalevilleal.com,334-598-4442,GTL,Dale,334-598-8670,"City Jail - Medium",http://www.dalevilleal.com/home/CityServices/PoliceDepartment.aspx,0,"740 South Daleville Ave PO Box 188, Daleville, AL 36322"
"402 Lee St Northeast PO Box 488, Decatur, AL 35602",Adult,Alabama,edtaylor@decatur-al.gov,256-341-4610,"TelMate Inmate Calling",Morgan,256-341-4605,"City Jail - Medium",http://www.decaturalabamausa.com/departments/policedept/index.html,0,"402 Lee St Northeast PO Box 488, Decatur, AL 35602"
"301 East Washington St, Demopolis, AL 36732",Adult,Alabama,police@demopolisal.gov,334-289-3073,GTL,Marengo,334-289-9187,"City Jail - Medium",http://www.demopolisal.gov/police.html,0,"301 East Washington St, Demopolis, AL 36732"
"1502 US Hwy 98 PO Box 400, Daphne, AL 36526",Adult,Alabama,N/A,251-621-2808,GTL,Baldwin,251-621-2826,"City Jail - Medium",http://www.daphnepolice.org/,0,"1502 US Hwy 98 PO Box 400, Daphne, AL 36526"
"210 North Saint Andrews St PO Box 2128, Dothan, AL 36303",Adult,Alabama,dpd@dothan.org,334-615-3000,"LegacyInmate.com Communications",Houston,334-615-3639,"City Jail - Medium",http://www.dothanpolice.org/,0,"210 North Saint Andrews St PO Box 2128, Dothan, AL 36303"
"304 Simmons St, Elba, AL 36323",Adult,Alabama,N/A,334-897-2555,GTL,Coffee,N/A,"City Jail - Medium",http://www.elbaalabama.net/city-services/police-department,0,"304 Simmons St, Elba, AL 36323"
"107 North Section St PO Drawer 429, Fairhope, AL 36532",Adult,Alabama,Joe.Petties@cofairhope.com,251-928-2385,GTL,Baldwin,251-990-0158,"City Jail - Medium",http://www.cofairhope.com/departments/police,0,"107 North Section St PO Drawer 429, Fairhope, AL 36532"
"740 North Main St, Arab, AL 35976",Adult,Alabama,eralston@arabcity.org,256-586-8124,"TelMate Inmate Calling",Marshall,N/A,"Police Station - Medium",http://www.arabcity.org/index.php/services/police,0,"740 North Main St, Arab, AL 35976"
"PO Box 8, Fyffe, AL 35971",Adult,Alabama,N/A,256-623-2222,GTL,DeKalb,N/A,"City Jail - Medium",http://www.fyffecitylimits.com/police-department.php,0,"PO Box 8, Fyffe, AL 35971"
"1210 Walker Chapel Road PO Box 699, Fultondale, AL 35068",Adult,Alabama,N/A,205-849-5456,"Securus Tech®",Jefferson,N/A,"City Jail - Medium",http://www.cityoffultondale.com/Aboutthecity/CityServices/PublicSafetyDepartment/PoliceDepartment/tabid/175/Default.aspx,0,"1210 Walker Chapel Road PO Box 699, Fultondale, AL 35068"
"110 West College St, Florence, AL 35630",Adult,Alabama,N/A,256-760-6300,GTL,Lauderdale,256-760-6388,"City Jail - Medium",http://www.florenceal.org/Police/index.html,0,"110 West College St, Florence, AL 35630"
"200 Gault Ave South, Fort Payne, AL 35967",Adult,Alabama,N/A,256-845-1414,GTL,DeKalb,256-845-4445,"City Jail - Medium",http://www.fortpayne.org/index.php?option=com_content&amp;view=article&amp;id=10&amp;Itemid=11,0,"200 Gault Ave South, Fort Payne, AL 35967"
"200 East Section Ave, Foley, AL 36535",Adult,Alabama,tipline@cityoffoley.org,251-970-3040,"NCIC Inmate Telephone Services",Baldwin,251-952-4014,"City Jail - Medium",http://www.cityoffoley.org/CityServices/PoliceDepartment.aspx,0,"200 East Section Ave, Foley, AL 36535"
"90 Broad St, Gadsden, AL 35901",Adult,Alabama,N/A,256-549-4500,GTL,Etowah,256-549-4547,"City Jail - Medium",http://www.cityofgadsden.com/index.aspx?nid=162,0,"90 Broad St, Gadsden, AL 35901"
"1309 Decatur Hwy, Gardendale, AL 35071",Adult,Alabama,N/A,205-631-8787,"NCIC Inmate Telephone Services",Jefferson,205-631-9700,"City Jail - Medium",http://cityofgardendale.com/site/?page_id=83,0,"1309 Decatur Hwy, Gardendale, AL 35071"
"201 Chastain Blvd West, Glencoe, AL 35905",Adult,Alabama,kenonmckenzie@cityofglencoe.net,256-492-1424,GTL,Etowah,256-492-1433,"City Jail - Medium",http://www.cityofglencoe.net/Police,0,"201 Chastain Blvd West, Glencoe, AL 35905"
"340 Blount Ave, Guntersville, AL 35976",Adult,Alabama,jpeterson@guntersvillepd.org,256-571-7571,"TelMate Inmate Calling",Marshall,256-571-7570,"City Jail - Medium",http://www.guntersvilleal.org/city_services/PUB_police_department.php,0,"340 Blount Ave, Guntersville, AL 35976"
"220 Clubhouse Drive, Gulf Shores, AL 36542",Adult,Alabama,edelmore@gulfshoresal.gov,251-968-2431,"NCIC Inmate Telephone Services",Baldwin,N/A,"City Jail - Medium",http://www.gulfshoresal.gov/index.aspx?NID=334,0,"220 Clubhouse Drive, Gulf Shores, AL 36542"
"510 South Royal St  PO Box 113, Mobile, AL 36601",Adult,Alabama,N/A,251-574-2321,"Global Tel Link (GTL) - ConnectNetwork",Mobile,251-574-3385,"County - medium",http://www.mobileso.com/,328,"510 South Royal St  PO Box 113, Mobile, AL 36601"
"PO Box 960 119 East Commerce St, Greenville, AL 36037",Adult,Alabama,N/A,334-382-7461,GTL,Butler,334-382-7985,"City Jail - Medium",http://www.greenville-alabama.com/Default.asp?ID=22&amp;pg=Police+Department,0,"PO Box 960 119 East Commerce St, Greenville, AL 36037"
