country,state,city,latitude,longitude
Australia,Australian Capital Territory,Acton,-35.27767000,149.11829000
Australia,Australian Capital Territory,Ainslie,-35.26255000,149.14370000
Australia,Australian Capital Territory,Amaroo,-35.16959000,149.12802000
Australia,Australian Capital Territory,Aranda,-35.25817000,149.08040000
Australia,Australian Capital Territory,Banks,-35.47194000,149.09965000
Australia,Australian Capital Territory,Barton,-35.30489000,149.14121000
Australia,Australian Capital Territory,Belconnen,-35.23798000,149.06627000
Australia,Australian Capital Territory,Bonner,-35.16225000,149.13855000
Australia,Australian Capital Territory,Bonython,-35.43326000,149.07822000
Australia,Australian Capital Territory,Braddon,-35.27078000,149.13569000
Australia,Australian Capital Territory,Bruce,-35.24405000,149.09083000
Australia,Australian Capital Territory,Calwell,-35.44042000,149.10707000
Australia,Australian Capital Territory,Campbell,-35.28907000,149.15382000
Australia,Australian Capital Territory,Canberra,-35.28346000,149.12807000
Australia,Australian Capital Territory,Casey,-35.16701000,149.09470000
Australia,Australian Capital Territory,Chapman,-35.35621000,149.03742000
Australia,Australian Capital Territory,Charnwood,-35.20019000,149.03412000
Australia,Australian Capital Territory,Chifley,-35.35340000,149.07684000
Australia,Australian Capital Territory,Chisholm,-35.41249000,149.12825000
Australia,Australian Capital Territory,City,-35.28125000,149.12927000
Australia,Australian Capital Territory,Conder,-35.45926000,149.10422000
Australia,Australian Capital Territory,Cook,-35.26014000,149.06566000
Australia,Australian Capital Territory,Coombs,-35.31634000,149.03941000
Australia,Australian Capital Territory,Crace,-35.20282000,149.10736000
Australia,Australian Capital Territory,Curtin,-35.32464000,149.07763000
Australia,Australian Capital Territory,Deakin,-35.31927000,149.10308000
Australia,Australian Capital Territory,Dickson,-35.25082000,149.13932000
Australia,Australian Capital Territory,Downer,-35.24457000,149.14468000
Australia,Australian Capital Territory,Duffy,-35.33459000,149.03188000
Australia,Australian Capital Territory,Dunlop,-35.19402000,149.01984000
Australia,Australian Capital Territory,Evatt,-35.21191000,149.06891000
Australia,Australian Capital Territory,Fadden,-35.40500000,149.11662000
Australia,Australian Capital Territory,Farrer,-35.37673000,149.10500000
Australia,Australian Capital Territory,Fisher,-35.36126000,149.05704000
Australia,Australian Capital Territory,Florey,-35.22588000,149.05000000
Australia,Australian Capital Territory,Flynn,-35.20593000,149.04389000
Australia,Australian Capital Territory,Forde,-35.16823000,149.14607000
Australia,Australian Capital Territory,Forrest,-35.31499000,149.12859000
Australia,Australian Capital Territory,Franklin,-35.19946000,149.14329000
Australia,Australian Capital Territory,Fraser,-35.19170000,149.04534000
Australia,Australian Capital Territory,Garran,-35.34206000,149.10846000
Australia,Australian Capital Territory,Gilmore,-35.41994000,149.13481000
Australia,Australian Capital Territory,Giralang,-35.21093000,149.09600000
Australia,Australian Capital Territory,Gordon,-35.45676000,149.08498000
Australia,Australian Capital Territory,Gowrie,-35.41187000,149.10903000
Australia,Australian Capital Territory,Greenway,-35.41829000,149.06658000
Australia,Australian Capital Territory,Griffith,-35.32533000,149.13714000
Australia,Australian Capital Territory,Gungahlin,-35.18674000,149.13619000
Australia,Australian Capital Territory,Hackett,-35.24948000,149.16352000
Australia,Australian Capital Territory,Harrison,-35.19906000,149.15631000
Australia,Australian Capital Territory,Hawker,-35.24707000,149.03666000
Australia,Australian Capital Territory,Higgins,-35.23242000,149.02720000
Australia,Australian Capital Territory,Holder,-35.33439000,149.04614000
Australia,Australian Capital Territory,Holt,-35.22441000,149.01188000
Australia,Australian Capital Territory,Hughes,-35.33269000,149.09491000
Australia,Australian Capital Territory,Isaacs,-35.36862000,149.11555000
Australia,Australian Capital Territory,Isabella Plains,-35.42829000,149.08795000
Australia,Australian Capital Territory,Kaleen,-35.21814000,149.10516000
Australia,Australian Capital Territory,Kambah,-35.38624000,149.05804000
Australia,Australian Capital Territory,Kingston,-35.31525000,149.14658000
Australia,Australian Capital Territory,Latham,-35.21652000,149.03144000
Australia,Australian Capital Territory,Lyneham,-35.23980000,149.13074000
Australia,Australian Capital Territory,Lyons,-35.34060000,149.07396000
Australia,Australian Capital Territory,Macarthur,-35.40885000,149.12696000
Australia,Australian Capital Territory,Macgregor,-35.20980000,149.01101000
Australia,Australian Capital Territory,Macquarie,-35.25126000,149.06363000
Australia,Australian Capital Territory,Mawson,-35.36340000,149.09863000
Australia,Australian Capital Territory,McKellar,-35.21752000,149.07704000
Australia,Australian Capital Territory,Melba,-35.21016000,149.05405000
Australia,Australian Capital Territory,Monash,-35.41577000,149.09063000
Australia,Australian Capital Territory,Narrabundah,-35.33570000,149.14924000
Australia,Australian Capital Territory,Ngunnawal,-35.17280000,149.11147000
Australia,Australian Capital Territory,Nicholls,-35.18733000,149.09648000
Australia,Australian Capital Territory,O'Connor,-35.25645000,149.11248000
Australia,Australian Capital Territory,Oxley,-35.40952000,149.07860000
Australia,Australian Capital Territory,Page,-35.23864000,149.04988000
Australia,Australian Capital Territory,Palmerston,-35.19447000,149.11940000
Australia,Australian Capital Territory,Pearce,-35.36222000,149.08338000
Australia,Australian Capital Territory,Phillip,-35.35035000,149.09151000
Australia,Australian Capital Territory,Red Hill,-35.32624000,149.11906000
Australia,Australian Capital Territory,Reid,-35.28578000,149.13905000
Australia,Australian Capital Territory,Richardson,-35.42787000,149.11377000
Australia,Australian Capital Territory,Rivett,-35.34709000,149.03790000
Australia,Australian Capital Territory,Scullin,-35.23462000,149.03900000
Australia,Australian Capital Territory,Spence,-35.19873000,149.06438000
Australia,Australian Capital Territory,Stirling,-35.34969000,149.04930000
Australia,Australian Capital Territory,Theodore,-35.44962000,149.11971000
Australia,Australian Capital Territory,Torrens,-35.37203000,149.08773000
Australia,Australian Capital Territory,Turner,-35.26881000,149.12465000
Australia,Australian Capital Territory,Wanniassa,-35.39783000,149.09086000
Australia,Australian Capital Territory,Waramanga,-35.35297000,149.06214000
Australia,Australian Capital Territory,Watson,-35.23815000,149.15271000
Australia,Australian Capital Territory,Weetangera,-35.25000000,149.05000000
Australia,Australian Capital Territory,Weston,-35.33582000,149.05929000
Australia,Australian Capital Territory,Wright,-35.32239000,149.03456000
Australia,Australian Capital Territory,Yarralumla,-35.29980000,149.10585000
Australia,New South Wales,Abbotsbury,-33.87010000,150.86119000
Australia,New South Wales,Abbotsford,-33.84889000,151.12801000
Australia,New South Wales,Abercrombie,-33.38867000,149.54580000
Australia,New South Wales,Aberdare,-32.84112000,151.38168000
Australia,New South Wales,Aberdeen,-32.16588000,150.89003000
Australia,New South Wales,Aberglasslyn,-32.70000000,151.53333000
Australia,New South Wales,Abermain,-32.80740000,151.42750000
