country,state,city,latitude,longitude
United States,Alabama,Abbeville,31.57184000,-85.25049000
United States,Alabama,Adamsville,33.60094000,-86.95611000
United States,Alabama,Alabaster,33.24428000,-86.81638000
United States,Alabama,Albertville,34.26783000,-86.20878000
United States,Alabama,Alexander City,32.94401000,-85.95385000
United States,Alabama,Alexandria,33.77399000,-85.88552000
United States,Alabama,Aliceville,33.12957000,-88.15142000
United States,Alabama,Andalusia,31.30808000,-86.48243000
United States,Alabama,Anniston,33.65983000,-85.83163000
United States,Alabama,Arab,34.31815000,-86.49582000
United States,Alabama,Argo,33.68778000,-86.50051000
United States,Alabama,Ashford,31.18296000,-85.23632000
United States,Alabama,Ashland,33.27373000,-85.83607000
United States,Alabama,Ashville,33.83704000,-86.25442000
United States,Alabama,Athens,34.80243000,-86.97219000
United States,Alabama,Atmore,31.02379000,-87.49387000
United States,Alabama,Attalla,34.02176000,-86.08859000
United States,Alabama,Auburn,32.60986000,-85.48078000
United States,Alabama,Autauga County,32.53492000,-86.64276000
United States,Alabama,Baldwin County,30.66097000,-87.74984000
United States,Alabama,Ballplay,34.05871000,-85.80802000
United States,Alabama,Barbour County,31.86960000,-85.39320000
United States,Alabama,Bay Minette,30.88296000,-87.77305000
United States,Alabama,Bayou La Batre,30.40352000,-88.24852000
United States,Alabama,Bear Creek,34.27482000,-87.70058000
United States,Alabama,Berry,33.65983000,-87.60001000
United States,Alabama,Bessemer,33.40178000,-86.95444000
United States,Alabama,Bibb County,32.99864000,-87.12644000
United States,Alabama,Birmingham,33.52066000,-86.80249000
United States,Alabama,Blount County,33.98087000,-86.56737000
United States,Alabama,Blountsville,34.08149000,-86.59110000
United States,Alabama,Blue Ridge,32.49264000,-86.19052000
United States,Alabama,Boaz,34.20065000,-86.16637000
United States,Alabama,Brent,32.93735000,-87.16472000
United States,Alabama,Brewton,31.10518000,-87.07219000
United States,Alabama,Bridgeport,34.94758000,-85.71442000
United States,Alabama,Brighton,33.43428000,-86.94721000
United States,Alabama,Brook Highland,33.43566000,-86.67388000
United States,Alabama,Brookside,33.63788000,-86.91666000
United States,Alabama,Brookwood,33.25567000,-87.32083000
United States,Alabama,Brundidge,31.72016000,-85.81606000
United States,Alabama,Bullock County,32.10055000,-85.71570000
United States,Alabama,Butler,32.08959000,-88.22197000
United States,Alabama,Butler County,31.75243000,-86.68029000
United States,Alabama,Bynum,33.61316000,-85.96108000
United States,Alabama,Cahaba Heights,33.46400000,-86.73193000
United States,Alabama,Calera,33.10290000,-86.75360000
United States,Alabama,Calhoun County,33.77143000,-85.82603000
United States,Alabama,Camden,31.99098000,-87.29055000
United States,Alabama,Carbon Hill,33.89177000,-87.52612000
United States,Alabama,Carlisle-Rockledge,34.11445000,-86.12407000
United States,Alabama,Carrollton,33.26169000,-88.09503000
United States,Alabama,Cedar Bluff,34.22009000,-85.60774000
United States,Alabama,Center Point,33.64566000,-86.68360000
United States,Alabama,Centre,34.15204000,-85.67885000
United States,Alabama,Centreville,32.94620000,-87.11669000
United States,Alabama,Chalkville,33.65316000,-86.64777000
United States,Alabama,Chambers County,32.91437000,-85.39204000
United States,Alabama,Chatom,31.46517000,-88.25446000
United States,Alabama,Chelsea,33.34011000,-86.63026000
United States,Alabama,Cherokee,34.75703000,-87.97281000
United States,Alabama,Cherokee County,34.17596000,-85.60379000
United States,Alabama,Chickasaw,30.76380000,-88.07472000
United States,Alabama,Childersburg,33.27817000,-86.35498000
United States,Alabama,Chilton County,32.84785000,-86.71881000
United States,Alabama,Choccolocco,33.65927000,-85.70357000
United States,Alabama,Choctaw County,32.01961000,-88.26320000
United States,Alabama,Citronelle,31.09073000,-88.22806000
United States,Alabama,Clanton,32.83874000,-86.62943000
United States,Alabama,Clarke County,31.67666000,-87.83081000
United States,Alabama,Clay,33.70260000,-86.59971000
United States,Alabama,Clay County,33.26909000,-85.86055000
United States,Alabama,Clayton,31.87822000,-85.44966000
United States,Alabama,Cleburne County,33.67456000,-85.51877000
United States,Alabama,Cleveland,33.99093000,-86.57749000
United States,Alabama,Clio,31.70878000,-85.61050000
United States,Alabama,Coaling,33.15901000,-87.34083000
United States,Alabama,Coffee County,31.40263000,-85.98821000
United States,Alabama,Colbert County,34.70043000,-87.80498000
United States,Alabama,Collinsville,34.26398000,-85.86053000
United States,Alabama,Columbiana,33.17817000,-86.60721000
United States,Alabama,Concord,33.46761000,-87.03111000
United States,Alabama,Conecuh County,31.42927000,-86.99368000
United States,Alabama,Coosa County,32.93623000,-86.24766000
United States,Alabama,Coosada,32.49791000,-86.33136000
United States,Alabama,Cordova,33.75983000,-87.18333000
United States,Alabama,Cottonwood,31.04879000,-85.30493000
United States,Alabama,Covington County,31.24849000,-86.45125000
United States,Alabama,Cowarts,31.20018000,-85.30465000
United States,Alabama,Crenshaw County,31.73149000,-86.31355000
United States,Alabama,Creola,30.89185000,-88.03972000
United States,Alabama,Crossville,34.28759000,-85.99414000
United States,Alabama,Cullman,34.17482000,-86.84361000
United States,Alabama,Cullman County,34.13194000,-86.86762000
United States,Alabama,Dadeville,32.83124000,-85.76357000
United States,Alabama,Dale County,31.43182000,-85.61103000
United States,Alabama,Daleville,31.31017000,-85.71299000
United States,Alabama,Dallas County,32.32597000,-87.10648000
United States,Alabama,Danville,34.41454000,-87.08751000
