Brand Organization Email Extension,Tenant Organization Email Extension,Brand Location Number,Tenant Location Number,Name,Phone,Email,Website,Address Line one,Address Line Two,Latitude,Longitude,Zip Code,Country,State,County,Municipality - Place,Notes
britishlegion.org.uk,,,,Abbots Langley,,,,,,,,WD5 0LN,United Kingdom,,,,"Abbots Langley Branch meets at The Working Mens Club, 21 Trowley Rise, Abbots Langley WD5 0LN  07527 213 921 on the first Tuesday of the month at 7-30pm for 8pm."
britishlegion.org.uk,,,,Aberaeron RBL,,,,,,,,,United Kingdom,,,,The Aberaeron Branch meets at 19:30 on the first Friday of each month at the Royal British Legion Hall in Aberaeron.
britishlegion.org.uk,,,,Aberdare RBL,,,,,,,,,United Kingdom,,,,Aberdare Branch meets at 7.30pm on the last Monday of every month at the RAF Association Club in Aberdare.
britishlegion.org.uk,,,,Aberystwyth RBL,,,,,,,,,United Kingdom,,,,Aberystwyth Branch meets every 2nd month on the 3rd Thursday in the month at the The Railway Club in Aberystwyth. On the month we don't meet  there we have an organised Branch outing or event like Clay pigeon shooting or a trip to the likes of the Royal Mint or National Arboretum. Please check the events page to keep updated.
britishlegion.org.uk,,,,Ackworth-Pontefract RBL,,,,,,,,,United Kingdom,,,,"Ackworth and Pontefract Branch meets on the first Sunday of each month at the Ackworth Social Club, 52 Wakefield Road in Ackworth."
britishlegion.org.uk,,,,Albrighton RBL,,,,,,,,,United Kingdom,,,,"Albrighton Branch meets at the The Royal in Delaware Avenue, Albrighton. Wolverhampton. West Midlands."
britishlegion.org.uk,,,,Aldershot RBL,,,,,,,,,United Kingdom,,,,We meet on the 2nd Tuesday of every even month at 1945 and the venue will be promulgated on the Aldershot RBL Facebook page or by emailing the Secretary.
britishlegion.org.uk,,,,Alphington RBL,,,,,,,,EX2 8TF,United Kingdom,,,,"Alphington & District Branch meets at 7.30pm on the first Tuesday of every other month, starting February 2022, at The Royal British Legion Club, 1 Legion Way, Alphington, Exeter, EX2 8TF."
britishlegion.org.uk,,,,Abbots Langley RBL,,,,,,,,WD5 0LN,United Kingdom,,,,"Abbots Langley Branch meets at The Working Mens Club, 21 Trowley Rise, Abbots Langley WD5 0LN  07527 213 921 on the first Tuesday of the month at 7-30pm for 8pm."
britishlegion.org.uk,,,,Abercarn RBL,,,,,,,,,United Kingdom,,,,Abercarn Branch meets on the last Wednesday of every month at 7:30pm at Abercarn Workingmens Club in Abercarn.
