"Brand Organization Email Extension","Tenant Organization Email Extension","Brand Location Number","Tenant Location Number",Name,Phone,Email,Website,"Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes
britishlegion.org.uk,,,,"Abbots Langley",,,,"The Working Mens Club, 21 Trowley Rise, Abbots Langley WD5 0LN",,51.7031728,-0.413617,"WD5 0LN","United Kingdom",,Hertfordshire,"Abbots Langley","Abbots Langley Branch meets at The Working Mens Club, 21 Trowley Rise, Abbots Langley WD5 0LN  07527 213 921 on the first Tuesday of the month at 7-30pm for 8pm."
britishlegion.org.uk,,,,"Aberaeron RBL",,,,"Victoria St, Aberaeron SA46 0JB, UK",,52.2441284,-4.258148,"SA46 0JB","United Kingdom",,Ceredigion,Aberaeron,"The Aberaeron Branch meets at 19:30 on the first Friday of each month at the Royal British Legion Hall in Aberaeron."
britishlegion.org.uk,,,,"Aberdare RBL",,,,"Albert St, Aberdare CF44 7EP, United Kingdom",,51.7108085,-3.4425522,"CF44 7EP","United Kingdom",,"Rhondda Cynon Taff",Aberdare,"Aberdare Branch meets at 7.30pm on the last Monday of every month at the RAF Association Club in Aberdare."
britishlegion.org.uk,,,,"Aberystwyth RBL",,,,"3 Market St, Aberystwyth SY23 1DL, UK",,52.4146583,-4.0851817,"SY23 1DL","United Kingdom",,Ceredigion,Aberystwyth,"Aberystwyth Branch meets every 2nd month on the 3rd Thursday in the month at the The Railway Club in Aberystwyth. On the month we don't meet  there we have an organised Branch outing or event like Clay pigeon shooting or a trip to the likes of the Royal Mint or National Arboretum. Please check the events page to keep updated."
britishlegion.org.uk,,,,"Ackworth-Pontefract RBL",,,,"Mill Ln, South Kirkby, Pontefract WF9 3HG, UK",,53.5917415,-1.3291361,"WF9 3HG","United Kingdom",,"West Yorkshire",Pontefract,"Ackworth and Pontefract Branch meets on the first Sunday of each month at the Ackworth Social Club, 52 Wakefield Road in Ackworth."
britishlegion.org.uk,,,,"Albrighton RBL",,,,"Delaware Ave, Albrighton, Wolverhampton WV7 3BW, United Kingdom",,52.6348043,-2.2871127,"WV7 3BW","United Kingdom",,Shropshire,Wolverhampton,"Albrighton Branch meets at the The Royal in Delaware Avenue, Albrighton. Wolverhampton. West Midlands."
britishlegion.org.uk,,,,"Aldershot RBL",,,,,,,,,"United Kingdom",,,,"We meet on the 2nd Tuesday of every even month at 1945 and the venue will be promulgated on the Aldershot RBL Facebook page or by emailing the Secretary."
britishlegion.org.uk,,,,"Alphington RBL",,,,"1 Legion Way, Alphington, Exeter EX2 8TF, UK",,50.7040528,-3.5351128,"EX2 8TF","United Kingdom",,Devon,Exeter,"Alphington & District Branch meets at 7.30pm on the first Tuesday of every other month, starting February 2022, at The Royal British Legion Club, 1 Legion Way, Alphington, Exeter, EX2 8TF."
britishlegion.org.uk,,,,"Abbots Langley RBL",,,,"21 Trowley Rise, Abbots Langley WD5 0LN, United Kingdom",,51.7031728,-0.413617,"WD5 0LN","United Kingdom",,Hertfordshire,"Abbots Langley","Abbots Langley Branch meets at The Working Mens Club, 21 Trowley Rise, Abbots Langley WD5 0LN  07527 213 921 on the first Tuesday of the month at 7-30pm for 8pm."
britishlegion.org.uk,,,,"Abercarn RBL",,,,,,,,,"United Kingdom",,,,"Abercarn Branch meets on the last Wednesday of every month at 7:30pm at Abercarn Workingmens Club in Abercarn."
britishlegion.org.uk,,,,"Aberdulais RBL",,,,"Lock House, Riverside, Aberdulais, Tonna, Neath SA10 8ES, UK",,51.6786515,-3.7768005,"SA10 8ES","United Kingdom",,"Neath Port Talbot Principle Area",Neath,"Aberdulais Branch meets every [month] at [time] at the Lock House, Riverside, Aberdulais SA10 8ES."
britishlegion.org.uk,,,,"Accrington RBL",,,,"Top Floor, 39 Abbey St, Accrington BB5 1EN, UK",,53.7528957,-2.3615989,"BB5 1EN","United Kingdom",,Lancashire,Accrington,"We meet at Poplar Social Club, 142 Wellington St, Accrington BB5 2NJ on the last Sunday of every month at 12:30pm."
britishlegion.org.uk,,,,"Acle & District",,,,,,,,,"United Kingdom",,,,"Branch meets at 1900hrs every first Wednesday of the month."
britishlegion.org.uk,,,,"Aldbury RBL",,,,"Stocks Rd, Aldbury, Tring HP23 5RT, United Kingdom",,51.8039363,-0.601354,"HP23 5RT","United Kingdom",,,Tring,"Aldbury Branch normally meets on the last Friday of each month at the Greyhound Inn Aldbury HP23 5RT - but the Secretary or one of the Committee can be found there most afternoons in the public bar so introduce yourself and make contact, all are welcome or contact our Secretary directly at astephenson.britishlegion@gmail.com"
britishlegion.org.uk,,,,"Aldridge RBL",,,,"14 Croft Parade, Aldridge, Walsall WS9 8LY, United Kingdom",,52.60471,-1.9167448,"WS9 8LY","United Kingdom",,"West Midlands",Walsall,"Aldridge Branch meets at 7.30pm on the fourth Monday of every month at The Turtles Head, 14 Croft Parade Aldridge WS9 8LY"
britishlegion.org.uk,,,,"Alrewas RBL",,,,"58 Rykneld St, Alrewas, Burton-on-Trent DE13 7AX, UK",,52.7284022,-1.7450096,"DE13 7AX","United Kingdom",,Staffordshire,Burton-on-Trent,
britishlegion.org.uk,,,,"Alsager RBL",,,,,,,,,"United Kingdom",,,,"Alsager Branch meets on the first Sunday of each month at Alsager Social Club, Longview Avenue, Alsager. Meetings start at 10.45 a.m. Membership is open to everyone. If you have an interest in the objectives of the Legion and want to help and support for those who have served and their families, come and join us. We welcome men and women of all ages, whether they have served in the Armed Forces or not."
