"Brand Organization Email Extension","Tenant Organization Email Extension","Brand Location Number","Tenant Location Number",Name,Phone,Email,Website,"Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes
ssafa.org.uk,,,,"SSAFA Hertfordshire","0204 566 9129",,offices.sc.egov.usda.gov/hertfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Birmingham","020 4566 9116",,https://www.ssafa.org.uk/greater-birmingham,"Our postal address is",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00 (except Bank Holidays)."
ssafa.org.uk,,,,"SSAFA SSAFA Somerset","0204 566 9131",,offices.sc.egov.usda.gov/somerset,"1 Eagle House  21-22 Alexandra Parade  Weston super Mare  Somerset  BS23 1QX",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lancashire","020 4566 9146",,offices.sc.egov.usda.gov/lancashire,"SSAFA Lancashire, Shuttleworth Welfare Centre, Fulwood Barracks, Preston",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA West Yorkshire","020 4566 9117",,offices.sc.egov.usda.gov/west-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Dorset","0204 566 9131",,offices.sc.egov.usda.gov/dorset,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Greater Manchester","020 4566 9146",,offices.sc.egov.usda.gov/greater-manchester,"SSAFA GM Branch Office, TAVR Centre, TAVR Centre, Belle Vue Street, Manchester",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Sussex","020 4566 9126",,offices.sc.egov.usda.gov/sussex,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA London South East","0204 558 7631",,offices.sc.egov.usda.gov/london-south-east,,,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA Bristol &amp; South Gloucestershire","0204 566 9131",,offices.sc.egov.usda.gov/bristol-south-gloucestershire,"SSAFA Bristol &amp; South Gloucestershire, HMS Flying Fox, Winterstoke Road, Bristol",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09.00-17.00"
ssafa.org.uk,,,,"SSAFA Northern Ireland","028 9032 7740",,offices.sc.egov.usda.gov/northern-ireland,"21 Talbot St, Belfast BT1 2LD",,,,,"United Kingdom",,,,"Opening times:  Belfast office hours: Tuesday-Thursday, 09:00 - 16:00"
ssafa.org.uk,,,,"SSAFA Cumbria","020 4566 9146",,offices.sc.egov.usda.gov/cumbria,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Cambridgeshire &amp; Bedfordshire","0204 566 9129",,offices.sc.egov.usda.gov/cambridgeshire-bedfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South East Wales","029 2294 1004",,offices.sc.egov.usda.gov/south-east-wales,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Cheshire","020 4566 9146",,offices.sc.egov.usda.gov/cheshire,"SSAFA Office, building 156, Liverpool Road, The Dale Barracks, Chester",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Essex","0204 566 9129",,offices.sc.egov.usda.gov/essex,"SSAFA Office, Merville Barracks, Colchester",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,SSAFA,,,offices.sc.egov.usda.gov/london-south-west-1/,,,,,,"United Kingdom",,,,"Opening times:"
ssafa.org.uk,,,,"SSAFA SSAFA Kent","020 4566 9126",,offices.sc.egov.usda.gov/kent,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Warwickshire &amp; Coventry","0204 566 9116",,offices.sc.egov.usda.gov/warwickshire-coventry,"Westfield House, Army Reserve Centre, Swillington Road, Coventry",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Dundee &amp; Angus","0141 488 8552",,offices.sc.egov.usda.gov/dundee-angus,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Derbyshire","020 4566 9114",,offices.sc.egov.usda.gov/derbyshire,"1st Floor, Drill Hall, Cluster Road, Belper ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Dumfriesshire &amp; Stewartry","0141 488 8552",,offices.sc.egov.usda.gov/dumfriesshire-stewartry,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Durham","020 4566 9117",,offices.sc.egov.usda.gov/durham,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South Yorkshire","020 4566 9117",,offices.sc.egov.usda.gov/south-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA West Midlands North","0204 566 9116",,offices.sc.egov.usda.gov/west-midlands-north,"SSAFA Office, The TA Centre Gordon House, Sutton Road, Walsall",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA London Central","0204 558 7631",,offices.sc.egov.usda.gov/london-central,"Queen Elizabeth House, 4 St Dunstan's Hill, London",,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA SSAFA Edinburgh &amp; Lothians","0141 488 8552",,offices.sc.egov.usda.gov/edinburgh-lothians,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA London North West","0204 558 7631",,offices.sc.egov.usda.gov/london-north-west,,,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA Devon","0204 566 9131",,offices.sc.egov.usda.gov/devon,"SSAFA Office, Room FO2, Building 7, Wyvern Barracks, Barrack Road, Exeter",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Forth Valley","0141 488 8552",,offices.sc.egov.usda.gov/forth-valley,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA  SSAFA Glasgow &amp; Renfrewshire","0141 488 8552",,offices.sc.egov.usda.gov/glasgow-renfrewshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Gloucestershire","020 4566 9131",,offices.sc.egov.usda.gov/gloucestershire,"SSAFA Gloucestershire, Army Reserve Centre, Came Place, Gloucester. GL4 3BD",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Surrey","0204 566 9126",,offices.sc.egov.usda.gov/surrey,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA North Yorkshire","020 4566 9117",,offices.sc.egov.usda.gov/north-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Herefordshire","01432 273932",,offices.sc.egov.usda.gov/herefordshire,"SSAFA c/o Herefordshire Council, Plough Lane, Hereford",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Inverness-Shire &amp; Western Isles","0141 488 8552",,offices.sc.egov.usda.gov/inverness-shire-western-isles,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA East Yorkshire","020 4566 9117",,offices.sc.egov.usda.gov/east-yorkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Suffolk","0204 566 9129",,offices.sc.egov.usda.gov/suffolk,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA  Ross &amp; Cromarty","0141 488 8552",,offices.sc.egov.usda.gov/ross-cromarty,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Ayrshire","0141 488 8552",,offices.sc.egov.usda.gov/ayrshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA London South West","0204 558 7631",,offices.sc.egov.usda.gov/london-south-west,"The Clock Tower, Queen Alexandra’s Court, St Mary’s Road, London, SW19 7DE",,,,,"United Kingdom",,,,"Opening times:  09.30-17.00, Monday to Friday"
ssafa.org.uk,,,,"SSAFA SSAFA Caithness","0141 488 8552",,offices.sc.egov.usda.gov/caithness,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Fife","0141 488 8552",,offices.sc.egov.usda.gov/fife,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Merseyside","020 4566 9146",,offices.sc.egov.usda.gov/merseyside,"Alamein Reserve Centre, Liverpool Road, Huyton, Liverpool, Merseyside, L36 3RW",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Powys","029 2294 1004",,offices.sc.egov.usda.gov/powys,"SSAFA Office, The Barracks, Watton, Brecon, Powys",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
