Source,Name,Main Phone,Main Email,Website,Website Valid,Email extension,Linkedin,Instagram,Facebook,X (formerly Twitter),Pinterest,TikTok,Youtube,Mission,Veteran Owned Business Y/N,Is certified Veteran Owned Business Y/N,Is Veteran Service Organization Y/N,Is VA or GOV Organization Y/N,VA or GOV Type,VA or GOV Subtype,Service Area,Address Line one,Address Line Two,Latitude,Longitude,Zip Code,Country,State,County,Municipality - Place,Notes,Owner,Owner Phone,Owner Email
https://www.britishveteranowned.co.uk/business-profile?recordId=recXK2VCfc2onv0JY,5C Consulting Ltd,+441295722808,simon.george@5cconsulting.co.uk,www.5Cconsulting.co.uk,,,https://www.linkedin.com/company/91639708/admin/feed/posts/,,,,,,,,,,,,,,,"Bloxham Mill, Barford Road",,52.01192,-1.37092,OX15 4FF,UK,,Oxfordshire,Bloxham,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=rece8eu8HL3JtT3cP,ABRH Ltd,+447388675288,admin@abrh.solutions,www.abrh.solutions,,,https://www.linkedin.com/company/rethinking-trauma-and-transition/?viewAsMember=true,,https://facebook.com/,,,,https://www.youtube.com/channel/UC-ftHKkMAeKCLP552hV0CuA,,,,,,,,,272 Bath Street,,55.86547,-4.26896,G2 4JR,UK,,"Scotland,",Glasgow,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=rec6lgO5cFxB4KNpN,ACA Health & Safety Services,+441473313116,info@acasafety.com,www.acasafety.com,,,,,,,,,,,,,,,,,,"Birchwood House, Mill Hill",,52.00442,1.03485,IP92JE,UK,,Suffolk,Capel St Mary,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recjGD3EdUQQVoWHH,Advanced Gas Solutions,,lee.waite82@gmail.com,https://www.britishveteranowned.co.uk/business-profile?recordId=recjGD3EdUQQVoWHH,,,,,,,,,,,,,,,,,,,,,,,UK,,,,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recxhie2TBXpFtOry,Agri - Wildlife Management Herefordshire ,01432 381749,Admin@agri-wmh.co.uk,www.agri-wmh.co.uk,,,,https://www.instagram.com/agri_wildlife_management_hfd,"https://static.wixstatic.com/media/e316f544f9094143b9eac01f1f19e697.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/e316f544f9094143b9eac01f1f19e697.png",,,,,,,,,,,,,,,,,HR11BZ,UK,,Herefordshire ,Hereford,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recHx4p77cPUX8eXo,Al Topping Photos & Film,+447980900480,info@altopping.com,https://www.altopping.com,,,https://www.linkedin.com/in/altopping,https://www.instagram.com/altoppingphotography,https://www.facebook.com/altoppingphotography,,,,https://www.youtube.com/channel/UCdjPgvNsr5kW09mk57S3L6A,,,,,,,,,Old Hall Road,,54.39348,-2.92973,LA23 1,UK,,Cumbria,Windermere,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recehBfXXq7i3bcwj,All Out Heating & Plumbing limited ,,Alloutheat@gmail.com,https://www.britishveteranowned.co.uk/business-profile?recordId=recehBfXXq7i3bcwj,,,,,,,,,,,,,,,,,,,,,,HG4 2EQ,UK,,North Yorkshire,Ripon,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recnu9kWSIO8mjVCe,Ambassador Security Solutions Group Training Academy Ltd,+447909610849,info@ambassadorsecuritysolutionsgroup.co.uk,https://www.ambassadorsecuritysolutionsgroup.co.uk,,,,https://www.instagram.com/ambassadorsecuritysolutions,,,,,,,,,,,,,,13 nelson avenue,,53.40999,-2.79791,l35 3pg,UK,,merseyside,liverpool,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recNxYjFPjXVH8eU7,Ambush Veteran Adventures,,matthew.g.rugman@outlook.com,www.ambush-veterans.co.uk,,,,,,,,,,,,,,,,,,,,,,Po94pp,UK,,Hants,Havant,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recokgsWL1cc7P2iW,Arrowforth,+447796505350,contact@arrowforth.com,https://www.arrowforth.com,,,https://www.linkedin.com/company/arrowforth/about/?viewAsMember=true,,,https://twitter.com/arrowforth1,,,,,,,,,,,,128 City Road,,51.5273,-0.08892,EC1V 2NX,UK,,Middlesex,London,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recgHFiMvoNiX87fX,Audax Global Solutions Ltd,+441752264950,info@audaxuk.com,www.audaxuk.com,,,https://www.linkedin.com/company/19277675,,,https://twitter.com/audaxsolutions,,,https://www.youtube.com/@audaxBWV,,,,,,,,,16 Mary Seacole Road,,50.37125,-4.15752,PL1 3JY,UK,,Devon,Plymouth,,,,
https://www.britishveteranowned.co.uk/business-profile?recordId=recvPOrotx31tEv2N,Awaking Giants ,,gareth@awakinggiants.com,www.awakinggiants.com,,,,,,,,,,,,,,,,,,,,,,DN9 3GE,UK,,South Yorkshire,Doncaster,,,,
