PNuid_NLidu,,Province,,Name_en
Canada,,AB,,Manyberries
Canada,,AB,,Etzikom
Canada,,AB,,"New Dayton"
Canada,,AB,,Wrentham
Canada,,AB,,Raymond
Canada,,AB,,Stirling
Canada,,AB,,Aetna
Canada,,AB,,"Mountain View"
Canada,,AB,,Leavitt
Canada,,AB,,Cardston
Canada,,AB,,Elkwater
Canada,,AB,,Coutts
Canada,,AB,,"Milk River"
Canada,,AB,,Warner
Canada,,AB,,Magrath
Canada,,AB,,"Spring Coulee"
Canada,,AB,,Walsh
Canada,,AB,,Irvine
Canada,,AB,,Dunmore
Canada,,AB,,"Medicine Hat"
Canada,,AB,,Redcliff
Canada,,AB,,"Seven Persons"
Canada,,AB,,"Bow Island"
Canada,,AB,,"Grassy Lake"
Canada,,AB,,"Johnson's Addition"
Canada,,AB,,Chin
Canada,,AB,,Barnwell
Canada,,AB,,Taber
Canada,,AB,,"Purple Springs"
Canada,,AB,,Burdett
Canada,,AB,,Winnifred
Canada,,AB,,Whitla
Canada,,AB,,McNab
Canada,,AB,,"Hill Spring"
Canada,,AB,,Glenwood
Canada,,AB,,Coaldale
Canada,,AB,,Lethbridge
Canada,,AB,,Coalhurst
Canada,,AB,,"Diamond City"
Canada,,AB,,Hartleyville
Canada,,AB,,Ralston
Canada,,AB,,Suffield
Canada,,AB,,Hilda
Canada,,AB,,Schuler
Canada,,AB,,Pincher
Canada,,AB,,"Pincher Creek"
Canada,,AB,,Cowley
Canada,,AB,,Chokio
Canada,,AB,,"Fort Macleod"
Canada,,AB,,Orton
Canada,,AB,,"Moon River Estates"
Canada,,AB,,McDermott
Canada,,AB,,"Sunset Acres"
Canada,,AB,,Monarch
Canada,,AB,,Shaughnessy
Canada,,AB,,"Picture Butte"
Canada,,AB,,"Beaver Mines"
Canada,,AB,,Lundbreck
Canada,,AB,,Burmis
Canada,,AB,,"Hillcrest Mines"
Canada,,AB,,Bellevue
Canada,,AB,,Frank
Canada,,AB,,Blairmore
Canada,,AB,,Coleman
Canada,,AB,,Hazell
Canada,,AB,,"Waterton Park"
Canada,,AB,,"Iron Springs"
Canada,,AB,,Turin
Canada,,AB,,Fincastle
Canada,,AB,,Empress
Canada,,AB,,"Acadia Valley"
Canada,,AB,,Oyen
Canada,,AB,,Bindloss
Canada,,AB,,Jenner
Canada,,AB,,Iddesleigh
Canada,,AB,,Patricia
Canada,,AB,,Duchess
Canada,,AB,,Rosemary
Canada,,AB,,Brooks
Canada,,AB,,Cassils
Canada,,AB,,Rainier
Canada,,AB,,Scandia
Canada,,AB,,"Rolling Hills"
Canada,,AB,,Vauxhall
Canada,,AB,,Grantham
Canada,,AB,,Hays
Canada,,AB,,Tilley
Canada,,AB,,Travers
Canada,,AB,,Enchant
Canada,,AB,,Lomond
Canada,,AB,,Nobleford
Canada,,AB,,Barons
Canada,,AB,,Carmangay
Canada,,AB,,Champion
Canada,,AB,,Vulcan
Canada,,AB,,Milo
Canada,,AB,,Millicent
Canada,,AB,,Granum
Canada,,AB,,Claresholm
Canada,,AB,,Stavely
Canada,,AB,,Gleichen
Canada,,AB,,Cluny
Canada,,AB,,Siksika
Canada,,AB,,Arrowwood
Canada,,AB,,Shouldice
Canada,,AB,,Bassano
Canada,,AB,,Sibbald
Canada,,AB,,Cereal
Canada,,AB,,Chinook
Canada,,AB,,Youngstown
Canada,,AB,,Hussar
Canada,,AB,,Standard
Canada,,AB,,Namaka
