PNuid_NLidu,Province,,Name_en
Canada,Alberta,,Manyberries
Canada,Alberta,,Etzikom
Canada,Alberta,,"New Dayton"
Canada,Alberta,,Wrentham
Canada,Alberta,,Raymond
Canada,Alberta,,Stirling
Canada,Alberta,,Aetna
Canada,Alberta,,"Mountain View"
Canada,Alberta,,Leavitt
Canada,Alberta,,Cardston
Canada,Alberta,,Elkwater
Canada,Alberta,,Coutts
Canada,Alberta,,"Milk River"
Canada,Alberta,,Warner
Canada,Alberta,,Magrath
Canada,Alberta,,"Spring Coulee"
Canada,Alberta,,Walsh
Canada,Alberta,,Irvine
Canada,Alberta,,Dunmore
Canada,Alberta,,"Medicine Hat"
Canada,Alberta,,Redcliff
Canada,Alberta,,"Seven Persons"
Canada,Alberta,,"Bow Island"
Canada,Alberta,,"Grassy Lake"
Canada,Alberta,,"Johnson's Addition"
Canada,Alberta,,Chin
Canada,Alberta,,Barnwell
Canada,Alberta,,Taber
Canada,Alberta,,"Purple Springs"
Canada,Alberta,,Burdett
Canada,Alberta,,Winnifred
Canada,Alberta,,Whitla
Canada,Alberta,,McNab
Canada,Alberta,,"Hill Spring"
Canada,Alberta,,Glenwood
Canada,Alberta,,Coaldale
Canada,Alberta,,Lethbridge
Canada,Alberta,,Coalhurst
Canada,Alberta,,"Diamond City"
Canada,Alberta,,Hartleyville
Canada,Alberta,,Ralston
Canada,Alberta,,Suffield
Canada,Alberta,,Hilda
Canada,Alberta,,Schuler
Canada,Alberta,,Pincher
Canada,Alberta,,"Pincher Creek"
Canada,Alberta,,Cowley
Canada,Alberta,,Chokio
Canada,Alberta,,"Fort Macleod"
Canada,Alberta,,Orton
Canada,Alberta,,"Moon River Estates"
Canada,Alberta,,McDermott
Canada,Alberta,,"Sunset Acres"
Canada,Alberta,,Monarch
Canada,Alberta,,Shaughnessy
Canada,Alberta,,"Picture Butte"
Canada,Alberta,,"Beaver Mines"
Canada,Alberta,,Lundbreck
Canada,Alberta,,Burmis
Canada,Alberta,,"Hillcrest Mines"
Canada,Alberta,,Bellevue
Canada,Alberta,,Frank
Canada,Alberta,,Blairmore
Canada,Alberta,,Coleman
Canada,Alberta,,Hazell
Canada,Alberta,,"Waterton Park"
Canada,Alberta,,"Iron Springs"
Canada,Alberta,,Turin
Canada,Alberta,,Fincastle
Canada,Alberta,,Empress
Canada,Alberta,,"Acadia Valley"
Canada,Alberta,,Oyen
Canada,Alberta,,Bindloss
Canada,Alberta,,Jenner
Canada,Alberta,,Iddesleigh
Canada,Alberta,,Patricia
Canada,Alberta,,Duchess
Canada,Alberta,,Rosemary
Canada,Alberta,,Brooks
Canada,Alberta,,Cassils
Canada,Alberta,,Rainier
Canada,Alberta,,Scandia
Canada,Alberta,,"Rolling Hills"
Canada,Alberta,,Vauxhall
Canada,Alberta,,Grantham
Canada,Alberta,,Hays
Canada,Alberta,,Tilley
Canada,Alberta,,Travers
Canada,Alberta,,Enchant
Canada,Alberta,,Lomond
Canada,Alberta,,Nobleford
Canada,Alberta,,Barons
Canada,Alberta,,Carmangay
Canada,Alberta,,Champion
Canada,Alberta,,Vulcan
Canada,Alberta,,Milo
Canada,Alberta,,Millicent
Canada,Alberta,,Granum
Canada,Alberta,,Claresholm
Canada,Alberta,,Stavely
Canada,Alberta,,Gleichen
Canada,Alberta,,Cluny
Canada,Alberta,,Siksika
Canada,Alberta,,Arrowwood
Canada,Alberta,,Shouldice
Canada,Alberta,,Bassano
Canada,Alberta,,Sibbald
Canada,Alberta,,Cereal
Canada,Alberta,,Chinook
Canada,Alberta,,Youngstown
Canada,Alberta,,Hussar
Canada,Alberta,,Standard
Canada,Alberta,,Namaka
Canada,Alberta,,"New Brigden"
Canada,Alberta,,Hanna
Canada,Alberta,,Craigmyle
Canada,Alberta,,Delia
Canada,Alberta,,Michichi
Canada,Alberta,,Munson
Canada,Alberta,,Morrin
Canada,Alberta,,Parkland
Canada,Alberta,,Nanton
Canada,Alberta,,Rosedale
Canada,Alberta,,Drumheller
Canada,Alberta,,Nacmine
Canada,Alberta,,Cambria
Canada,Alberta,,Wayne
Canada,Alberta,,"East Coulee"
Canada,Alberta,,Kirkcaldy
Canada,Alberta,,Ensign
Canada,Alberta,,Richdale
Canada,Alberta,,Chancellor
Canada,Alberta,,Makepeace
Canada,Alberta,,Mossleigh
Canada,Alberta,,Carseland
Canada,Alberta,,Blackie
Canada,Alberta,,Herronton
Canada,Alberta,,Brant
Canada,Alberta,,Cayley
Canada,Alberta,,Connemara
Canada,Alberta,,Durward
Canada,Alberta,,Kew
Canada,Alberta,,Millarville
Canada,Alberta,,"Turner Valley"
Canada,Alberta,,"Black Diamond"
Canada,Alberta,,Okotoks
Canada,Alberta,,"High River"
Canada,Alberta,,Longview
Canada,Alberta,,"Bearspaw, Chiniki, Wesley"
Canada,Alberta,,Queenstown
Canada,Alberta,,Foremost
Canada,Alberta,,Legend
Canada,Alberta,,Skiff
Canada,Alberta,,Judson
Canada,Alberta,,Welling
Canada,Alberta,,"Del Bonita"
Canada,Alberta,,Dorothy
Canada,Alberta,,Sunnynook
Canada,Alberta,,Pollockville
Canada,Alberta,,Cessford
Canada,Alberta,,Wardlow
Canada,Alberta,,Gem
Canada,Alberta,,Altario
Canada,Alberta,,Compeer
Canada,Alberta,,Consort
Canada,Alberta,,Monitor
Canada,Alberta,,Pemukan
Canada,Alberta,,Bodo
Canada,Alberta,,Hayter
Canada,Alberta,,Provost
Canada,Alberta,,Cadogan
Canada,Alberta,,Loyalist
Canada,Alberta,,Veteran
Canada,Alberta,,Coronation
Canada,Alberta,,Throne
Canada,Alberta,,Federal
Canada,Alberta,,Fleet
Canada,Alberta,,Castor
Canada,Alberta,,Bulwark
Canada,Alberta,,Brownfield
Canada,Alberta,,Gadsby
Canada,Alberta,,Halkirk
Canada,Alberta,,Botha
Canada,Alberta,,Stettler
Canada,Alberta,,"Big Valley"
Canada,Alberta,,Scollard
Canada,Alberta,,Rumsey
Canada,Alberta,,Byemoor
Canada,Alberta,,Endiang
Canada,Alberta,,Sedalia
Canada,Alberta,,Czar
Canada,Alberta,,Hughenden
Canada,Alberta,,Metiskow
Canada,Alberta,,Amisk
Canada,Alberta,,Leahurst
Canada,Alberta,,Warden
Canada,Alberta,,Erskine
Canada,Alberta,,Nevis
Canada,Alberta,,Ardley
Canada,Alberta,,Delburne
Canada,Alberta,,Haynes
Canada,Alberta,,Joffre
Canada,Alberta,,Alix
Canada,Alberta,,Mirror
Canada,Alberta,,Tees
Canada,Alberta,,Clive
Canada,Alberta,,Bashaw
Canada,Alberta,,"Rochon Sands"
Canada,Alberta,,"White Sands"
Canada,Alberta,,"Red Willow"
Canada,Alberta,,Donalda
Canada,Alberta,,Alliance
Canada,Alberta,,Galahad
Canada,Alberta,,Forestburg
Canada,Alberta,,Rowley
Canada,Alberta,,Twining
Canada,Alberta,,"Three Hills"
Canada,Alberta,,Trochu
Canada,Alberta,,Swalwell
Canada,Alberta,,Carbon
Canada,Alberta,,Hesketh
Canada,Alberta,,Bircham
Canada,Alberta,,Acme
Canada,Alberta,,Beiseker
Canada,Alberta,,Irricana
Canada,Alberta,,Linden
Canada,Alberta,,Sunnyslope
Canada,Alberta,,Rockyford
Canada,Alberta,,Rosebud
Canada,Alberta,,Redland
Canada,Alberta,,Lawsonburg
Canada,Alberta,,"Rose Lynn"
Canada,Alberta,,Strathmore
Canada,Alberta,,Ardenode
Canada,Alberta,,Lyalta
Canada,Alberta,,Dalroy
Canada,Alberta,,Keoma
Canada,Alberta,,Kathyrn
Canada,Alberta,,Nightingale
Canada,Alberta,,Chestermere
Canada,Alberta,,"High Point Estates"
Canada,Alberta,,Langdon
Canada,Alberta,,Cheadle
Canada,Alberta,,Indus
Canada,Alberta,,Shepard
Canada,Alberta,,Dalemead
Canada,Alberta,,Aldersyde
Canada,Alberta,,Airdrie
Canada,Alberta,,Calgary
Canada,Alberta,,Stonelaw
Canada,Alberta,,Hardisty
Canada,Alberta,,Armada
Canada,Alberta,,"Bragg Creek"
Canada,Alberta,,Priddis
Canada,Alberta,,Cochrane
Canada,Alberta,,"Cochrane Lake Subd."
Canada,Alberta,,Conrich
Canada,Alberta,,"De Winton"
Canada,Alberta,,"Artists View Park West"
Canada,Alberta,,"Heritage Woods"
Canada,Alberta,,Benchlands
Canada,Alberta,,Waiparous
Canada,Alberta,,Canmore
Canada,Alberta,,Banff
Canada,Alberta,,Exshaw
Canada,Alberta,,"Lac des Arcs"
Canada,Alberta,,"Pigeon Mountain"
Canada,Alberta,,Morley
Canada,Alberta,,"Ghost Lake"
Canada,Alberta,,"Harvie Heights"
Canada,Alberta,,"Lake Louise"
Canada,Alberta,,"Saskatchewan River Crossing"
Canada,Alberta,,"Big Horn 144A"
Canada,Alberta,,Crossfield
Canada,Alberta,,Carstairs
Canada,Alberta,,Cremona
Canada,Alberta,,Dogpound
Canada,Alberta,,Didsbury
Canada,Alberta,,Olds
Canada,Alberta,,"Water Valley"
Canada,Alberta,,Bergen
Canada,Alberta,,Sundre
Canada,Alberta,,Bowden
Canada,Alberta,,Innisfail
Canada,Alberta,,Caroline
Canada,Alberta,,"Spruce View"
Canada,Alberta,,Markerville
Canada,Alberta,,Dickson
Canada,Alberta,,Penhold
Canada,Alberta,,Springbrook
Canada,Alberta,,Torrington
Canada,Alberta,,Wimborne
Canada,Alberta,,Huxley
Canada,Alberta,,Elnora
Canada,Alberta,,Lousana
Canada,Alberta,,"Pine Lake"
Canada,Alberta,,Tuttle
Canada,Alberta,,"Balmoral NW"
Canada,Alberta,,"Balmoral SE"
Canada,Alberta,,"Canyon Heights"
Canada,Alberta,,"Central Park"
Canada,Alberta,,Herder
Canada,Alberta,,"Les Trailer Park"
Canada,Alberta,,"Linn Valley"
Canada,Alberta,,"Poplar Ridge"
Canada,Alberta,,"Spruce Lane Acres"
Canada,Alberta,,"Woodland Hills"
