Source,Name,"Main Phone","Main Email",Website,"Website Valid","Email extension",Linkedin,Instagram,"Facebook X (formerly Twitter)",Pinterest,TikTok,Youtube,Mission,"Veteran Owned Business Y/N","Is certified Veteran Owned Business Y/N","Is Veteran Service Organization Y/N","Is VA or GOV Organization Y/N","VA or GOV Type","VA or GOV Subtype","Service Area","Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes,Owner,"Owner Phone","Owner Email"
careeronestop.org,,205-663-2542,alabaster@alcc.alabama.gov,https://www.northalabamaworks.com/career-centers/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"109 Plaza Circle",,,,35007,"United States",Alabama,,Alabaster,"8:00am - 5:00pm, Monday - Friday",1.html,,
careeronestop.org,,256-734-5580,cullman@alcc.alabama.gov,https://www.facebook.com/Alabama-Career-Center-Cullman-107865812574529/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"1201 Katherine Street, NW",,,,35055,"United States",Alabama,,Cullman,"Monday - Friday 7:30am - 4:30pm",10.html,,
careeronestop.org,,520-724-7650,rtilkens@azdes.gov,https://www.pima.gov/804/Community-Workforce-Development,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"340 North Commerce Park Loop",,,,85745,"United States",Arizona,,Tucson,"Monday - Friday 8:00am - 5:00pm",100.html,,
careeronestop.org,,989-732-3886,general@nemcworks.org,https://www.miworksne.org/jobseekers,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"2927 D &amp; M Drive",,,,49735,"United States",Michigan,,Gaylord,"Mon, Tues, Wed, Fri 8:30am-4:30pm; Thursday 9am-4:30pm. Closed for lunch 12pm-1pm Tues, Thurs, Fri.",1000.html,,
careeronestop.org,,989-426-8571,hamels@michigan.gov,https://www.michworks4u.org/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"110 Buckeye Street",,,,48624,"United States",Michigan,,Gladwin,,1001.html,,
careeronestop.org,,616-336-4460,info@westmiworks.org,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"215 Straight Ave NW",,,,49504,"United States",Michigan,,"Grand Rapids","Monday through Friday, 8am - 5pm",1002.html,,
careeronestop.org,,616-336-4040,alebednick@westmiworks.org,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"121 Martin Luther King Jr. St SE",,,,49507,"United States",,,"Suite 120","Monday - Friday 8:00am - 5:00pm",1003.html,,
careeronestop.org,,989-348-8709,general@nemcworks.org,https://www.miworksne.org/jobseekers,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"4595 Salling Drive",,,,49738,"United States",Michigan,,Grayling,"M, Tu, W, F 8:30am - 4:30pm; Th 9am - 4:30pm",1004.html,,
careeronestop.org,,616-754-3611,dmarin@michigan.gov,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"114 South Greenville West Drive",,,,48838,"United States",Michigan,,Greenville,"M-F 8am - 5pm",1005.html,,
careeronestop.org,,313-343-5617,freesep@michigan.gov,https://www.semcamiworks.org/job-seekers/find-a-job/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"17888 Mack Ave",,,,48230,"United States",Michigan,,"Grosse Pointe","Monday thru Friday 8:00am - 1:00pm",1006.html,,
careeronestop.org,,906-482-6916,mwjob@upmichiganworks.org,https://upmichiganworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"400 Quincy Street",,,,49930,"United States",,,"3rd Floor","Monday-Friday 8:00am-5:00pm",1007.html,,
careeronestop.org,,989-539-2173,reg7b@michworks4u.org,https://www.michiganworks.org,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"402 N First Street",,,,48625,"United States",Michigan,,Harrison,"M-F 8-5",1008.html,,
careeronestop.org,,616-649-9850,marind@michigan.gov,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"130 E. State St.",,,,49058,"United States",,,"Suite A","Mon - Friday 8am-5pm",1009.html,,
careeronestop.org,,520-724-7300,Daniel.sullivan@pima.gov,https://www.pima.gov/988/Sullivan-Jackson-Employment-Center,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"400 East 26th Street",,,,85713,"United States",Arizona,,Tucson,"Monday-Friday 8:00am - 5:00pm",101.html,,
careeronestop.org,,313-826-0299,kweeks@miwdi.org,https://www.semcamiworks.org/job-seekers/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"144 E Manchester Street",,,,48203,"United States",Michigan,,"Highland Park","Monday-Friday 8am-5pm",1010.html,,
careeronestop.org,,517-437-3381,svallance@mwse.org,https://www.mwse.org/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"21 Care Drive",,,,49242,"United States",Michigan,,Hillsdale,"8 am - 5 pm   Mon - Fri",1011.html,,
careeronestop.org,,616-396-2154,marind@michigan.gov,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"12331 James St,",,,,49424,"United States",,,"Suite 130","Mâ€“F 8 a.m. â€“ 5 p.m.",1012.html,,
careeronestop.org,,517-546-7450,dawrey@mwse.org,https://www.mwse.org/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"1200 Byron Road",,,,48843,"United States",Michigan,,Howell,"M-F 8:00-5:00",1013.html,,
careeronestop.org,,616-228-6725,marind@michigan.gov,https://www.westmiworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"603 W Adams St., Ionia.",,,,48846,"United States",Michigan,,Ionia,"Mon - Fri 8-5",1014.html,,
careeronestop.org,,906-774-3647,mwjob@upmichiganworks.org,https://upmichiganworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"127 South Stephenson Avenue",,,,49801,"United States",,,"Suite 211","M/W 9-12, 1-4; TU 1-4; TH by appointment",1015.html,,
careeronestop.org,,906-265-0532,mwjob@upmichiganworks.org,https://upmichiganworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"305 West Genesee Street",,,,49935,"United States",Michigan,,"Iron River","W/TH 9-12, 1-4; M/TU by appointment",1016.html,,
careeronestop.org,,517-841-5627,KellyM119@michigan.gov,https://www.mwse.org/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"209 East Washington Avenue",,,,49201,"United States",,,"Suite 100","M-F 8am-5pm",1017.html,,
careeronestop.org,,269-383-2536,headworthc@michigan.gov,https://www.michiganworkssouthwest.org/job-seekers,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"1601 South Burdick Street",,,,49001-4614,"United States",Michigan,,Kalamazoo,"Monday-Friday 8am-5pm",1018.html,,
careeronestop.org,,906-523-1072,mwjob@upmichiganworks.org,https://upmichiganworks.org/contact/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"2 South Main Street",,,,49946,"United States",,,"Suite A","TU/TH 9-12,1-4",1019.html,,
careeronestop.org,,928-338-4818,,https://arizonaatwork.com/locations/nineteen-tribal-nations/job-seeker-resources,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"201 E. Walnut Street",,,,85941,"United States",Arizona,,Whiteriver,"Monday - Friday 8am-5pm",102.html,,
careeronestop.org,,517-492-5500,bohanond2@michigan.gov,https://www.camw.org/career-seekers,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"2110 South Cedar Street",,,,48910,"United States",Michigan,,Lansing,N/A,1020.html,,
careeronestop.org,,810-664-1680,rrich@gstmiworks.org,https://gstmiworks.org/job-seekers/gst-locations/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"550 Lake Drive",,,,48446,"United States",,,"PO Box 600","Monday-Friday 8am-5pm",1021.html,,
careeronestop.org,,989-736-6082,general@nemcworks.org,https://www.miworksne.org/jobseekers,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"202 South 2nd Street",,,,48742,"United States",,,"Suite B; PO Box 316","Wednesday 9:00am-4:00pm",1022.html,,
careeronestop.org,,734-513-4900,semca@semca.org,https://www.semcamiworks.org/job-seekers/,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"30246 Plymouth Road",,,,48150,"United States",Michigan,,Livonia,"Monday - Friday 8:00am - 5:00pm",1023.html,,
careeronestop.org,,231-843-2563,info@michworkswc.org,https://mwwc.org,,,,,,,,,,,,,Y,Employment,"Employment Services - Job Center",,"920 E. Tinkham Ave.",,,,49431,"United States",Michigan,,Ludington,"Monday-Friday, 8:00am-5:00pm",1024.html,,
