Source,Name,Main Phone,Main Email,Website,Website Valid,Email extension,Linkedin,Instagram,Facebook,X,Pinterest,TikTok,Youtube,Mission,Veteran Owned Business Y/N,Is certified Veteran Owned Business Y/N,Is Veteran Service Organization Y/N,Is VA or GOV Organization Y/N,VA or GOV Type,VA or GOV Subtype,Service Area,Address Line one,Address Line Two,Latitude,Longitude,Zip Code,Country,State,County,Municipality - Place,Notes,Owner,Owner Phone,Owner Email
https://www.avob.org.au/certified-businesses,3ME Technology,,,https://3me.technology/,,,,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AC Fitouts,,,https://acfitouts.com.au/,,,,https://www.instagram.com/acfitouts/,https://www.facebook.com/acfitouts/,https://twitter.com/acfitouts,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AEGIR Marine,,,http://www.aegirmarine.com.au,,,https://www.linkedin.com/company/4805595,,https://www.facebook.com/aegirmarineaustralia,https://twitter.com/AEGIR_M_Survey,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AG Digital Consultants,,,https://agdigital.com.au/,,,https://www.linkedin.com/company/agdigitalconsultants/,,https://www.facebook.com/agdigitalconsultants,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AKRYPT,,,https://www.akryptstore.com/,,,,https://www.instagram.com/akryptstore/,https://www.facebook.com/people/AKRYPT/100086701953079/,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,ANSIC Security,,,https://www.ansic.com.au/,,,https://www.linkedin.com/company/ansic/,https://www.instagram.com/ansicsecurity/,https://www.facebook.com/ansicsec,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,AW Mobile Detailing,,,https://awmobiledetailing.com/,,,,https://www.instagram.com/awmobile_detailing,https://www.facebook.com/people/AW-Mobile-Detailing/100094000986498/?mibextid=2JQ9oc,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,Aces Plus Finance,,,,,,,,,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,Actus Associates,,,http://www.actus.net.au/,,,https://www.linkedin.com/company/actus-associates-pty-ltd/,https://www.instagram.com/actusassociates/,https://www.facebook.com/actusassociates/,,,,,,,,,,,,,,,,,,Australia,,,,,,,
https://www.avob.org.au/certified-businesses,Aerial Images Sunshine Coast,,,http://www.aerialimagessunshinecoast.com.au/,,,,,,,,,https://www.youtube.com/channel/UCG7BqxWrwVlINtsdPlW9ahg,,,,,,,,,,,,,,Australia,,,,,,,
